date,open,high,low,close,volume
2024-01-02,101.59,102.49,100.25,100.78,4524875
2024-01-03,101.14,101.43,100.21,100.6,3110867
2024-01-04,102.23,102.85,101.13,101.61,8230180
2024-01-05,103.64,104.39,103.27,103.99,1914481
2024-01-08,103.86,104.71,103.62,103.66,1524592
2024-01-09,103.09,103.91,102.64,103.33,2312976
2024-01-10,105.94,106.21,105.6,105.83,3195349
2024-01-11,107.21,107.76,107.05,107.09,3691966
2024-01-12,106.66,107.16,106.17,106.37,2897566
2024-01-15,106.96,107.32,106.49,107.27,3898208
2024-01-16,107.37,109.33,106.07,106.56,1748432
2024-01-17,106.21,106.72,105.21,105.85,6728631
2024-01-18,106.01,106.48,105.84,106.27,3137460
2024-01-19,102.94,104.32,102.49,103.29,5715246
2024-01-22,101.49,102.0,100.61,100.69,3880065
2024-01-23,100.14,101.01,99.27,99.87,4107711
2024-01-24,98.1,98.74,97.08,98.39,4346509
2024-01-25,98.7,98.99,98.46,98.89,4089176
2024-01-26,97.63,98.7,97.06,97.58,4507987
2024-01-29,96.19,96.66,95.13,95.56,6353880
2024-01-30,98.14,98.63,97.12,97.72,3606544
2024-01-31,96.88,97.42,96.01,97.41,4659887
2024-02-01,97.01,98.31,96.27,97.54,3125585
2024-02-02,95.69,95.86,95.47,95.51,6716371
2024-02-05,94.71,94.91,94.56,94.76,2330990
2024-02-06,94.55,95.4,94.26,94.95,8044266
2024-02-07,93.27,93.4,92.87,93.35,3204033
2024-02-08,93.09,94.19,92.66,93.91,1598557
2024-02-09,93.14,93.18,93.04,93.09,3485256
2024-02-12,92.46,93.2,91.81,92.71,2325566
2024-02-13,91.94,93.07,91.43,91.91,4976919
2024-02-14,95.0,95.46,94.49,94.52,2358857
2024-02-15,95.52,96.15,93.88,94.53,2615349
2024-02-16,93.9,94.53,92.79,93.07,1270892
2024-02-19,94.1,94.37,93.5,94.26,2607354
2024-02-20,92.66,93.01,92.15,92.58,972923
2024-02-21,92.78,93.1,92.27,92.89,1480734
2024-02-22,90.31,90.68,89.41,90.23,4781224
2024-02-23,88.28,88.62,88.1,88.48,4842298
2024-02-26,88.42,89.11,87.74,88.76,4043934
2024-02-27,88.74,90.2,88.01,89.78,2015770
2024-02-28,90.4,90.65,89.46,90.04,3191955
2024-02-29,90.01,90.17,89.49,89.91,3263134
2024-03-01,89.53,90.03,89.39,89.53,1831814
2024-03-04,87.89,88.22,87.33,87.59,6932278
2024-03-05,86.74,86.89,86.26,86.68,5069137
2024-03-06,86.24,86.67,86.05,86.11,2927085
2024-03-07,87.7,87.95,87.4,87.51,3313259
2024-03-08,88.22,88.57,87.17,87.99,3627997
2024-03-11,85.67,86.1,85.54,85.72,1177769
2024-03-12,86.39,86.68,85.93,86.16,2888972
2024-03-13,85.67,86.11,85.41,85.69,2324482
2024-03-14,84.78,84.87,84.52,84.85,1981153
2024-03-15,85.66,85.74,85.36,85.66,2840384
2024-03-18,87.64,87.91,86.75,87.02,8031189
2024-03-19,88.32,88.69,87.97,88.27,4503752
2024-03-20,87.41,87.57,86.99,87.19,2456898
2024-03-21,86.49,86.96,85.37,86.81,4352632
2024-03-22,86.96,87.43,86.67,87.27,6580871
2024-03-25,89.06,89.37,88.36,88.59,5190376
2024-03-26,87.45,88.56,87.13,87.98,3367951
